1000;160;180;200;;;;140;120
950;158;178;198;;;;138;118
900;156;176;196;;;;136;116
850;154;174;194;;;;134;114
800;152;172;192;;;;132;112
750;150;170;190;210;;;130;110
700;148;168;188;208;;;128;108
650;146;166;186;206;;;126;106
600;144;164;184;204;;;124;104
550;142;162;182;202;;;122;102
500;140;160;180;200;;;120;100
475;138;158;178;198;;;118;
450;136;156;176;196;;;116;
425;134;154;174;194;;;114;
400;132;152;172;192;;;112;
375;130;150;170;190;210;;110;
350;128;148;168;188;208;;108;
325;126;146;166;186;206;;106;
300;124;144;164;184;204;;104;
275;122;142;162;182;202;;102;
250;120;140;160;180;200;;100;
237;118;138;158;178;198;;;
224;116;136;156;176;196;;;
211;114;134;154;174;194;;;
198;112;132;152;172;192;;;
185;110;130;150;170;190;210;;
172;108;128;148;168;188;208;;
159;106;126;146;166;186;206;;
146;104;124;144;164;184;204;;
133;102;122;142;162;182;202;;
120;100;120;140;160;180;200;;
114;;118;138;158;178;198;;
108;;116;136;156;176;196;;
102;;114;134;154;174;194;;
96;;112;132;152;172;192;;
90;;110;130;150;170;190;;
84;;108;128;148;168;188;;
78;;106;126;146;166;186;;
72;;104;124;144;164;184;;
66;;102;122;142;162;182;;
60;;100;120;140;160;180;;
54;;;118;138;158;178;;
48;;;116;136;156;176;;
42;;;114;134;154;174;;
36;;;112;132;152;172;;
30;;;110;130;150;170;;
27;;;108;128;148;168;;
24;;;106;126;146;166;;
21;;;;;144;164;;
18;;;;;142;162;;
15;;;;;;160;;
12;;;;;;158;;
