1000;136;151;169;;
850;133;148;166;;
750;130;145;163;;
650;127;142;160;;
500;124;139;157;192;
425;121;136;154;188;
375;118;133;151;184;215
325;115;130;148;180;210
250;112;127;145;176;205
211;109;124;142;172;200
185;106;121;139;168;195
159;103;118;136;164;190
120;100;115;133;160;185
102;;112;130;156;180
90;;109;127;152;175
78;;106;124;148;170
60;;103;121;144;165
51;;100;118;140;160
45;;;115;136;155
39;;;112;132;150
30;;;109;128;145
27;;;106;124;140
25;;;103;120;135
23;;;100;116;130
20;;;;112;125
17;;;;108;120
15;;;;104;116
13;;;;100;112
11;;;;;108
10;;;;;105
7;;;;;102
5;;;;;100
